1d100,Descriptors 1,Descriptors 2,Actions 1,Actions 2,EventFocus,Special Elements,Character Special Traits,Character Identity,Character Descriptors,Default Adventure Characters List,Default Adventures Plotlines List,Cthulhu Occupations,Cthulhu Elements,Enemies
1,Abnormally,Abandoned,Attainment,Goals,Remote Event,"SUPERSIZE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, make it biggie size, more than what is expected. Take the Element up to the next level, or as grand as you can, while still making sense within the Scene. For instance, if the Category is Locations, and the Element generated is “pool,” where you originally may have envisioned this as a pond you now treat it as a lake.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Alienist,Snow,Nothing happens
2,Adventurously,Abnormal,Release,Messages,Remote Event,"SUPERSIZE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, make it biggie size, more than what is expected. Take the Element up to the next level, or as grand as you can, while still making sense within the Scene. For instance, if the Category is Locations, and the Element generated is “pool,” where you originally may have envisioned this as a pond you now treat it as a lake.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Antiquarian,Footprints,Nothing happens
3,Aggressively,Amusing,Expose,Advice,Remote Event,"SUPERSIZE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, make it biggie size, more than what is expected. Take the Element up to the next level, or as grand as you can, while still making sense within the Scene. For instance, if the Category is Locations, and the Element generated is “pool,” where you originally may have envisioned this as a pond you now treat it as a lake.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Archeologist,Snow,Fillers
4,Angrily,Ancient,Oppress,Death,Remote Event,"SUPERSIZE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, make it biggie size, more than what is expected. Take the Element up to the next level, or as grand as you can, while still making sense within the Scene. For instance, if the Category is Locations, and the Element generated is “pool,” where you originally may have envisioned this as a pond you now treat it as a lake.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Artist,Cript,Threat
5,Anxiously,Aromatic,Excitement,Victory,Remote Event,"SUPERSIZE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, make it biggie size, more than what is expected. Take the Element up to the next level, or as grand as you can, while still making sense within the Scene. For instance, if the Category is Locations, and the Element generated is “pool,” where you originally may have envisioned this as a pond you now treat it as a lake.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,New Plotline,Author,Stairs going down,2-3 Threats
6,Awkwardly,Average,Starting,Dreams,Remote Event,"BARELY THERE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, minimize it as much as possible. Whatever you would have described to represent this Element, take it down a notch or two. If it’s an Encounter, such as an enemy, maybe it is wounded or of a lesser nature than usual. If it’s a Location, maybe it is badly in need of repair or is unusually small.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,New Plotline,Clergy,Long,"Hitter + (Threat, Fillers, Distraction or Block)"
7,Beautifully,Beautiful,Befriend,Energy,Remote Event,"BARELY THERE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, minimize it as much as possible. Whatever you would have described to represent this Element, take it down a notch or two. If it’s an Encounter, such as an enemy, maybe it is wounded or of a lesser nature than usual. If it’s a Location, maybe it is badly in need of repair or is unusually small.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,New Plotline,Criminal,Very long,"2 Hitters + (Threat, Fillers, Distraction or Block)"
8,Bleakly,Bizarre,Haggle,Plot,NPC Action,"BARELY THERE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, minimize it as much as possible. Whatever you would have described to represent this Element, take it down a notch or two. If it’s an Encounter, such as an enemy, maybe it is wounded or of a lesser nature than usual. If it’s a Location, maybe it is badly in need of repair or is unusually small.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,New Plotline,Dilettante,Deep,"3 Hitters + (Threat, Fillers, Distraction or Block)"
9,Boldly,Classy,Inspect,Disruption,NPC Action,"BARELY THERE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, minimize it as much as possible. Whatever you would have described to represent this Element, take it down a notch or two. If it’s an Encounter, such as an enemy, maybe it is wounded or of a lesser nature than usual. If it’s a Location, maybe it is badly in need of repair or is unusually small.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Doctor,Dark,4-5 Threats
10,Bravely,Clean,Activity,Dispute,NPC Action,"BARELY THERE: Roll in the Category again (if you get Special again, treat it as Expected). Whatever Element is generated, minimize it as much as possible. Whatever you would have described to represent this Element, take it down a notch or two. If it’s an Encounter, such as an enemy, maybe it is wounded or of a lesser nature than usual. If it’s a Location, maybe it is badly in need of repair or is unusually small.
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Hobo,Stone,Boss + 2 or more Threats
